table_name,field_name,field_type,field_title,count
main,_link,text,_link,163
main,apiVersion,number,apiVersion,163
main,reference,integer,reference,163
main,url,text,url,163
main,title,boolean,title,163
main,contentType,text,contentType,163
main,language,text,language,163
main,databaseLabel,text,databaseLabel,163
main,database,text,database,163
main,summary,text,summary,163
main,weight,number,weight,163
main,groupById,boolean,groupById,163
main,content,text,content,163
main,accessRestriction,boolean,accessRestriction,163
main,pages,boolean,pages,163
main,checksum,text,checksum,163
main,metadata_publications,array,metadata_publications,163
main,metadata_typeOfAction,text,metadata_typeOfAction,163
main,metadata_es_SortDate,text,metadata_es_SortDate,163
main,metadata_endDate,text,metadata_endDate,163
main,metadata_status,text,metadata_status,163
main,metadata_projectObjective,text,metadata_projectObjective,162
main,metadata_language,text,metadata_language,163
main,metadata_title,text,metadata_title,163
main,metadata_esST_checksum,text,metadata_esST_checksum,163
main,metadata_objective,text,metadata_objective,162
main,metadata_typeOfMGAs,integer,metadata_typeOfMGAs,163
main,metadata_esST_FileName,text,metadata_esST_FileName,163
main,metadata_freeKeywords,text,metadata_freeKeywords,153
main,metadata_DATASOURCE,text,metadata_DATASOURCE,163
main,metadata_REFERENCE,integer,metadata_REFERENCE,163
main,metadata_projectId,integer,metadata_projectId,163
main,metadata_topicAbbreviation,text,metadata_topicAbbreviation,163
main,metadata_numberOfContributors,integer,metadata_numberOfContributors,163
main,metadata_publicationsAvailable,integer,metadata_publicationsAvailable,163
main,metadata_overallBudget,number,metadata_overallBudget,162
main,metadata_pics,text,metadata_pics,163
main,metadata_startDate,text,metadata_startDate,163
main,metadata_programId,integer,metadata_programId,163
main,metadata_typeOfActions,integer,metadata_typeOfActions,163
main,metadata_es_ContentType,text,metadata_es_ContentType,163
main,metadata_programmePeriod,text,metadata_programmePeriod,163
main,metadata_acronym,text,metadata_acronym,163
main,metadata_programmes,text,metadata_programmes,163
main,metadata_esDA_IngestDate,text,metadata_esDA_IngestDate,163
main,metadata_legalEntityNames,text,metadata_legalEntityNames,163
main,metadata_countries,text,metadata_countries,163
main,metadata_euContributionRate,number,metadata_euContributionRate,76
main,metadata_url,text,metadata_url,163
main,metadata_esST_URL,text,metadata_esST_URL,163
main,metadata_euContributionAmount,number,metadata_euContributionAmount,162
main,metadata_ecSignatureDate,text,metadata_ecSignatureDate,163
main,metadata_esDA_QueueDate,text,metadata_esDA_QueueDate,163
main,metadata_programDescription,text,metadata_programDescription,163
main,metadata_topicId,integer,metadata_topicId,163
main,metadata_nutsCode,text,metadata_nutsCode,163
main,metadata_fundedUnder,text,metadata_fundedUnder,163
main,metadata_programAbbreviation,text,metadata_programAbbreviation,163
main,metadata_esDA_FirstIngestDate,text,metadata_esDA_FirstIngestDate,114
metadata_participants,_link,text,_link,2360
metadata_participants,_link_main,text,_link_main,2360
metadata_participants,role,text,role,2360
metadata_participants,pic,number,pic,2360
metadata_participants,legalName,text,legalName,2360
metadata_participants,sme,boolean,sme,2360
metadata_participants,latitude,text,latitude,2360
metadata_participants,longitude,text,longitude,2360
metadata_participants,activityType,text,activityType,2360
metadata_participants,eucontribution,number,eucontribution,2360
metadata_participants,status,text,status,2360
metadata_participants,order,number,order,2360
metadata_participants,organizationType,boolean,organizationType,2360
metadata_participants,type,text,type,2360
metadata_participants,webLink,text,webLink,2360
metadata_participants,postalAddress_id,number,postalAddress_id,2360
metadata_participants,postalAddress_abbreviation,boolean,postalAddress_abbreviation,2360
metadata_participants,postalAddress_classId,boolean,postalAddress_classId,2360
metadata_participants,postalAddress_context,boolean,postalAddress_context,2360
metadata_participants,postalAddress_description,boolean,postalAddress_description,2360
metadata_participants,postalAddress_postalCode,text,postalAddress_postalCode,2360
metadata_participants,postalAddress_street,text,postalAddress_street,2360
metadata_participants,postalAddress_city,text,postalAddress_city,2360
metadata_participants,postalAddress_countryCode_id,number,postalAddress_countryCode_id,2360
metadata_participants,postalAddress_countryCode_abbreviation,text,postalAddress_countryCode_abbreviation,2360
metadata_participants,postalAddress_countryCode_classId,boolean,postalAddress_countryCode_classId,2360
metadata_participants,postalAddress_countryCode_context,boolean,postalAddress_countryCode_context,2360
metadata_participants,postalAddress_countryCode_description,text,postalAddress_countryCode_description,2360
metadata_participants,postalAddress_countryCode_postalCode,boolean,postalAddress_countryCode_postalCode,2360
metadata_participants,postalAddress_countryCode_street,boolean,postalAddress_countryCode_street,2360
metadata_participants,postalAddress_countryCode_city,boolean,postalAddress_countryCode_city,2360
metadata_participants,postalAddress_countryCode_countryCode,boolean,postalAddress_countryCode_countryCode,2360
