table_name,field_name,field_type,field_title,count
main,_link,text,_link,50
main,apiVersion,number,apiVersion,50
main,reference,integer,reference,50
main,url,text,url,50
main,title,boolean,title,50
main,contentType,text,contentType,50
main,language,text,language,50
main,databaseLabel,text,databaseLabel,50
main,database,text,database,50
main,summary,text,summary,50
main,weight,number,weight,50
main,groupById,boolean,groupById,50
main,content,text,content,50
main,accessRestriction,boolean,accessRestriction,50
main,pages,boolean,pages,50
main,checksum,text,checksum,50
main,metadata_publications,array,metadata_publications,50
main,metadata_typeOfAction,text,metadata_typeOfAction,50
main,metadata_es_SortDate,text,metadata_es_SortDate,50
main,metadata_endDate,text,metadata_endDate,50
main,metadata_status,text,metadata_status,50
main,metadata_projectObjective,text,metadata_projectObjective,49
main,metadata_language,text,metadata_language,50
main,metadata_title,text,metadata_title,50
main,metadata_esST_checksum,text,metadata_esST_checksum,50
main,metadata_objective,text,metadata_objective,49
main,metadata_typeOfMGAs,integer,metadata_typeOfMGAs,50
main,metadata_esST_FileName,text,metadata_esST_FileName,50
main,metadata_freeKeywords,text,metadata_freeKeywords,48
main,metadata_DATASOURCE,text,metadata_DATASOURCE,50
main,metadata_REFERENCE,integer,metadata_REFERENCE,50
main,metadata_projectId,integer,metadata_projectId,50
main,metadata_topicAbbreviation,text,metadata_topicAbbreviation,50
main,metadata_numberOfContributors,integer,metadata_numberOfContributors,50
main,metadata_publicationsAvailable,integer,metadata_publicationsAvailable,50
main,metadata_overallBudget,number,metadata_overallBudget,50
main,metadata_pics,text,metadata_pics,50
main,metadata_startDate,text,metadata_startDate,50
main,metadata_programId,integer,metadata_programId,50
main,metadata_typeOfActions,integer,metadata_typeOfActions,50
main,metadata_es_ContentType,text,metadata_es_ContentType,50
main,metadata_programmePeriod,text,metadata_programmePeriod,50
main,metadata_acronym,text,metadata_acronym,50
main,metadata_programmes,text,metadata_programmes,50
main,metadata_esDA_IngestDate,text,metadata_esDA_IngestDate,50
main,metadata_legalEntityNames,text,metadata_legalEntityNames,50
main,metadata_countries,text,metadata_countries,50
main,metadata_euContributionRate,number,metadata_euContributionRate,15
main,metadata_url,text,metadata_url,50
main,metadata_esST_URL,text,metadata_esST_URL,50
main,metadata_euContributionAmount,number,metadata_euContributionAmount,50
main,metadata_ecSignatureDate,text,metadata_ecSignatureDate,50
main,metadata_esDA_QueueDate,text,metadata_esDA_QueueDate,50
main,metadata_programDescription,text,metadata_programDescription,50
main,metadata_topicId,integer,metadata_topicId,50
main,metadata_nutsCode,text,metadata_nutsCode,50
main,metadata_fundedUnder,text,metadata_fundedUnder,50
main,metadata_programAbbreviation,text,metadata_programAbbreviation,50
main,metadata_esDA_FirstIngestDate,text,metadata_esDA_FirstIngestDate,26
metadata_participants,_link,text,_link,490
metadata_participants,_link_main,text,_link_main,490
metadata_participants,role,text,role,490
metadata_participants,pic,number,pic,490
metadata_participants,legalName,text,legalName,490
metadata_participants,sme,boolean,sme,490
metadata_participants,latitude,text,latitude,490
metadata_participants,longitude,text,longitude,490
metadata_participants,activityType,text,activityType,490
metadata_participants,eucontribution,number,eucontribution,490
metadata_participants,status,text,status,490
metadata_participants,order,number,order,490
metadata_participants,organizationType,boolean,organizationType,490
metadata_participants,type,text,type,490
metadata_participants,webLink,text,webLink,490
metadata_participants,postalAddress_id,number,postalAddress_id,490
metadata_participants,postalAddress_abbreviation,boolean,postalAddress_abbreviation,490
metadata_participants,postalAddress_classId,boolean,postalAddress_classId,490
metadata_participants,postalAddress_context,boolean,postalAddress_context,490
metadata_participants,postalAddress_description,boolean,postalAddress_description,490
metadata_participants,postalAddress_postalCode,text,postalAddress_postalCode,490
metadata_participants,postalAddress_street,text,postalAddress_street,490
metadata_participants,postalAddress_city,text,postalAddress_city,490
metadata_participants,postalAddress_countryCode_id,number,postalAddress_countryCode_id,490
metadata_participants,postalAddress_countryCode_abbreviation,text,postalAddress_countryCode_abbreviation,490
metadata_participants,postalAddress_countryCode_classId,boolean,postalAddress_countryCode_classId,490
metadata_participants,postalAddress_countryCode_context,boolean,postalAddress_countryCode_context,490
metadata_participants,postalAddress_countryCode_description,text,postalAddress_countryCode_description,490
metadata_participants,postalAddress_countryCode_postalCode,boolean,postalAddress_countryCode_postalCode,490
metadata_participants,postalAddress_countryCode_street,boolean,postalAddress_countryCode_street,490
metadata_participants,postalAddress_countryCode_city,boolean,postalAddress_countryCode_city,490
metadata_participants,postalAddress_countryCode_countryCode,boolean,postalAddress_countryCode_countryCode,490
