_link,_link_main,role,pic,legalName,sme,latitude,longitude,activityType,eucontribution,status,order,organizationType,type,webLink,postalAddress_id,postalAddress_abbreviation,postalAddress_classId,postalAddress_context,postalAddress_description,postalAddress_postalCode,postalAddress_street,postalAddress_city,postalAddress_countryCode_id,postalAddress_countryCode_abbreviation,postalAddress_countryCode_classId,postalAddress_countryCode_context,postalAddress_countryCode_description,postalAddress_countryCode_postalCode,postalAddress_countryCode_street,postalAddress_countryCode_city,postalAddress_countryCode_countryCode
0.metadata.participants.0,0,coordinator,907143904,FONDAZIONE SAFE,false,44.420655,12.1920634,Other,632500,Active,1,,OTH,www.safe-europe.eu,0,,,,,48121,VIA MAGGIORE 73,Ravenna,20000922,IT,,,Italy,,,,
0.metadata.participants.1,0,participant,999584128,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,false,48.269137,16.4266762,Research organisation,855250,Active,2,,REC,https://www.ait.ac.at/,0,,,,,1210,GIEFINGGASSE 4,Wien,20000832,AT,,,Austria,,,,
0.metadata.participants.2,0,participant,999556289,BRUHN NEWTECH AS,false,55.6800202,12.5851952,Private for profit organisation,438750,Active,3,,PRC,,0,,,,,1050,KONGENS NYTORV 17 3,KOBENHAVN K,20000875,DK,,,Denmark,,,,
0.metadata.participants.3,0,participant,999988521,"AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE",false,41.9313877,12.4627135,Research organisation,467500,Active,4,,REC,http://www.enea.it,0,,,,,00196,LUNGOTEVERE GRANDE AMMIRAGLIO THAON DI REVEL 76,Roma,20000922,IT,,,Italy,,,,
0.metadata.participants.4,0,participant,907711936,CAFA TECH OU,true,59.4372155,24.7453688,Other,980625,Active,5,,PRC,https://cafatech.com,0,,,,,10612,MADARA 29/1,Tallinn,20000880,EE,,,Estonia,,,,
0.metadata.participants.5,0,participant,991972053,CONSORZIO CREO-CENTRO RICERCHE ELETTRO OTTICHE,false,42.3958927,13.4357622,Research organisation,455750,Active,6,,REC,www.consorziocreo.it,0,,,,,67100,SS 17 LOCALITA BOSCHETTO,L'Aquila,20000922,IT,,,Italy,,,,
0.metadata.participants.6,0,participant,951947040,RE-LION GROUP B.V.,true,52.2556952,6.8515377,Other,498734.4,Active,7,,PRC,re-lion.com,0,,,,,7524 PK,"Vliegveldstraat 100, B517",Enschede,20000973,NL,,,Netherlands,,,,
0.metadata.participants.7,0,thirdParty,999979500,CONSIGLIO NAZIONALE DELLE RICERCHE,false,41.9009424,12.5122989,Research organisation,72562.5,Active,6,,REC,www.cnr.it,0,,,,,00185,PIAZZALE ALDO MORO 7,Roma,20000922,IT,,,Italy,,,,
1.metadata.participants.0,1,coordinator,999905004,GMV AEROSPACE AND DEFENCE SA,false,40.5943864,-3.7084131,Private for profit organisation,3549996.4,Active,1,,PRC,www.gmv.com,0,,,,,28760,CALLE ISAAC NEWTON PARQUE TECNOLOGICO DE MADRID,Tres Cantos,20000883,ES,,,Spain,,,,
1.metadata.participants.1,1,participant,999904034,AALBORG UNIVERSITET,false,57.01396,9.984469,HSE,1599812.5,Active,2,,HES,www.aau.dk,0,,,,,9220,FREDRIK BAJERS VEJ 7K,Aalborg,20000875,DK,,,Denmark,,,,
1.metadata.participants.2,1,participant,999991819,AIRBUS DEFENCE AND SPACE GMBH,false,48.0459053,11.655792738129307,Private for profit organisation,2100025.62,Active,3,,PRC,www.airbus-group.com,0,,,,,82024,WILLY-MESSERSCHMITT-STRASSE 1,Taufkirchen,20000873,DE,,,Germany,,,,
1.metadata.participants.3,1,participant,943609890,APPLIED INTELLIGENCE ANALYTICS LIMITED,true,53.5220444,-6.0908956,Other,653000,Active,4,,PRC,www.aianalytics.ie,0,,,,,K56TX28,ISLAND VIEW TOWER STREET,Rush Dublin,20000915,IE,,,Ireland,,,,
1.metadata.participants.4,1,participant,909976013,AUREA AVIONICS,true,40.3578633,-3.7286232,Other,859998.75,Active,5,,PRC,www.aureaavionics.com,0,,,,,28919,CALLE MARGARITA SALAS 24 PLANTA BJ PARQUE CIENTIFICO LEGANES,LEGANES,20000883,ES,,,Spain,,,,
1.metadata.participants.5,1,participant,999655520,BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION,false,41.3974818,2.1001918,Research organisation,450437.5,Active,6,,REC,www.bsc.es,0,,,,,08034,CALLE JORDI GIRONA 31,Barcelona,20000883,ES,,,Spain,,,,
1.metadata.participants.6,1,participant,892865019,C&V CONSULTING,true,50.8401504,4.3727037,Other,700000,Active,7,,PRC,www.cnv-consulting.eu,0,,,,,1050,RUE D'ARLON   25,IXELLES,20000839,BE,,,Belgium,,,,
1.metadata.participants.7,1,participant,972898264,HRVATSKI CENTAR ZA RAZMINIRANJE-CENTAR ZA TESTIRANJE RAZVOJ I OBUKU DOO,false,45.833151,16.0471878,Private for profit organisation,749956.25,Active,8,,PRC,www.ctro.hr,0,,,,,10020,SORTINA 1 D,Zagreb,20000911,HR,,,Croatia,,,,
1.metadata.participants.8,1,participant,881726024,EVIDEN GERMANY GMBH,false,48.0915481,11.648862,Private for profit organisation,1795903.75,Active,9,,PRC,www.eviden.com,0,,,,,81739,OTTO-HAHN-RING 6,Munchen,20000873,DE,,,Germany,,,,
1.metadata.participants.9,1,participant,999984059,FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,false,48.1322664,11.5296222,Other,949999.45,Active,10,,REC,www.fraunhofer.de,0,,,,,80686,HANSASTRASSE 27C,Munchen,20000873,DE,,,Germany,,,,
1.metadata.participants.10,1,participant,999583546,INSTITUTO NACIONAL DE TECNICA AEROESPACIAL ESTEBAN TERRADAS,false,40.4638351,-3.4757611,Research organisation,1505881.2,Active,11,,REC,www.inta.es,0,,,,,28850,CR TORREJON AJALVIR KM 4 2,Torrejon De Ardoz Madrid,20000883,ES,,,Spain,,,,
1.metadata.participants.11,1,participant,997545285,MBDA DEUTSCHLAND GMBH,false,48.5702854,11.2149263052905,Private for profit organisation,2300235,Active,12,,PRC,www.mbda-systems.com,0,,,,,86529,HAGENAUER FORST 27,Schrobenhausen,20000873,DE,,,Germany,,,,
1.metadata.participants.12,1,participant,892341607,NUMALIS,true,43.6112422,3.8767337,Other,545937.5,Active,13,,PRC,www.numalis.com,0,,,,,34000,"BUREAUX DU POLYGONE, 265 AV. DES ETATS DU LANGUEDOC",Montpellier,20000890,FR,,,France,,,,
1.metadata.participants.13,1,participant,999831575,ECOLE ROYALE MILITAIRE - KONINKLIJKE MILITAIRE SCHOOL,false,50.8434144,4.3916199,HSE,1697380,Active,14,,HES,www.rma.ac.be,0,,,,,1000,Avenue de la Renaissance 30,Bruxelles / Brussel,20000839,BE,,,Belgium,,,,
1.metadata.participants.14,1,participant,999757467,SPACE APPLICATIONS SERVICES NV,true,50.8704937,4.461175522922498,Other,2600000,Active,15,,PRC,www.spaceapplications.com,0,,,,,1932,LEUVENSESTEENWEG 325,Zaventem,20000839,BE,,,Belgium,,,,
1.metadata.participants.15,1,participant,999630009,UNIVERSITAET DER BUNDESWEHR MUENCHEN,false,48.075722,11.6513008,HSE,850000,Active,16,,HES,www.unibw.de,0,,,,,85579,WERNER HEISENBERG WEG 39,Neubiberg,20000873,DE,,,Germany,,,,
1.metadata.participants.16,1,participant,999882209,UNIVERSITAET ULM,false,48.425125300000005,9.962937715684372,HSE,851937.5,Active,17,,HES,www.uni-ulm.de,0,,,,,89081,HELMHOLTZSTRASSE  16,Ulm,20000873,DE,,,Germany,,,,
1.metadata.participants.17,1,participant,922739855,XENOMATIX,true,50.8645908,4.6937736,Other,1199800,Active,18,,PRC,www.xenomatix.com,0,,,,,3001,ROMEINSESTRAAT 6,Heverlee,20000839,BE,,,Belgium,,,,
2.metadata.participants.0,2,coordinator,989360037,OHB SYSTEM AG,false,53.1139736,8.8602392,Private for profit organisation,15866529.29,Active,1,,PRC,www.ohb-system.de,0,,,,,28359,UNIVERSITATSALLEE 27-29,Bremen,20000873,DE,,,Germany,,,,
2.metadata.participants.1,2,participant,920737969,AIM INFRAROT-MODULE GMBH,false,49.135093350000005,9.206243603638637,Private for profit organisation,3783500,Active,2,,PRC,www.aim-ir.com,0,,,,,74072,THERESIENSTRASSE 2,Heilbronn,20000873,DE,,,Germany,,,,
2.metadata.participants.2,2,participant,999809265,AIRBUS DEFENCE AND SPACE SAS,false,43.6044622,1.4442469,Private for profit organisation,12281481.53,Active,3,,PRC,www.airbusdefenceandspace.com,0,,,,,31402,31 RUE DES COSMONAUTES ZI DU PALAYS,Toulouse Cedex,20000890,FR,,,France,,,,
2.metadata.participants.3,2,participant,898635452,AMDC GMBH,true,48.7101182,11.8069746,Other,1020000,Active,4,,PRC,www.amdc.de,0,,,,,84094,AM PANDURENBERG 4,ELSENDORF,20000873,DE,,,Germany,,,,
2.metadata.participants.4,2,participant,932228201,ARIANEGROUP SAS,false,48.99715,1.926708,Private for profit organisation,1540000,Active,5,,PRC,ariane.group,0,,,,,78130,51-61 ROUTE DE VERNEUIL,Les Mureaux,20000890,FR,,,France,,,,
2.metadata.participants.5,2,participant,972664300,BEYOND GRAVITY AUSTRIA GMBH,false,48.1619937,16.3108285,Private for profit organisation,151998.75,Active,6,,PRC,www.beyondgravity.com,0,,,,,1120,STACHEGASSE 13,Wien,20000832,AT,,,Austria,,,,
2.metadata.participants.6,2,participant,952545239,DEIMOS ENGINEERING AND SYSTEMS SLU,false,38.6867422,-4.1034884,Private for profit organisation,2065000,Active,7,,PRC,www.elecnor-deimos.com,0,,,,,13500,C FRANCIA 9 POLIGONO INDUSTRIAL LA NAVA III,PUERTOLLANO,20000883,ES,,,Spain,,,,
2.metadata.participants.7,2,participant,998381813,DIEHL DEFENCE GMBH & CO. KG,false,47.757462700000005,9.188817208348109,Private for profit organisation,1617589.79,Active,8,,PRC,http://www.diehl.com/defence,0,,,,,88662,ALTE NUSSDORFER STRASSE 13,Uberlingen,20000873,DE,,,Germany,,,,
2.metadata.participants.8,2,participant,999981731,DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV,false,50.848867,7.111538417241022,Research organisation,230000,Active,9,,REC,www.dlr.de,0,,,,,51147,LINDER HOHE,Koln,20000873,DE,,,Germany,,,,
2.metadata.participants.9,2,participant,911149131,UAB NOVIAN PRO,false,54.69263,25.2643356,Private for profit organisation,440000,Active,10,,PRC,https://novian.io/novian-pro/,0,,,,,01109,GYNEJU G 14,VILNIUS,20000944,LT,,,Lithuania,,,,
2.metadata.participants.10,2,participant,999984059,FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,false,48.1322664,11.5296222,Other,741920.74,Active,11,,REC,www.fraunhofer.de,0,,,,,80686,HANSASTRASSE 27C,Munchen,20000873,DE,,,Germany,,,,
2.metadata.participants.11,2,participant,999905004,GMV AEROSPACE AND DEFENCE SA,false,40.5943864,-3.7084131,Private for profit organisation,2850000,Active,12,,PRC,www.gmv.com,0,,,,,28760,CALLE ISAAC NEWTON PARQUE TECNOLOGICO DE MADRID,Tres Cantos,20000883,ES,,,Spain,,,,
2.metadata.participants.12,2,participant,999951758,HENSOLDT OPTRONICS GMBH,false,48.7832568,10.100716,Private for profit organisation,2750464.55,Active,13,,PRC,www.hensoldt.net,0,,,,,73447,CARL ZEISS STRASSE 22,Oberkochen,20000873,DE,,,Germany,,,,
2.metadata.participants.13,2,participant,999967084,INDUSTRIEANLAGEN BETRIEBSGESELLSCHAFT MBH,false,48.0643823,11.6675042,Private for profit organisation,289813.49,Active,14,,PRC,www.iabg.de,0,,,,,85521,EINSTEINSTRASSE 20,Ottobrunn,20000873,DE,,,Germany,,,,
2.metadata.participants.14,2,participant,999694708,ISTITUTO AFFARI INTERNAZIONALI,true,41.8995787,12.4783776,Research organisation,210000,Active,15,,REC,www.iai.it,0,,,,,00186,VIA DEI MONTECATINI  17,Roma,20000922,IT,,,Italy,,,,
2.metadata.participants.15,2,participant,999959130,INDRA SISTEMAS SA,false,40.52917035,-3.6414349825450647,Private for profit organisation,2140000,Active,16,,PRC,www.indracompany.com,0,,,,,28108,AVENIDA DE BRUSELAS 35,Alcobendas Madrid,20000883,ES,,,Spain,,,,
2.metadata.participants.16,2,participant,996235688,INTRACOM DEFENSE AE,false,38.9953683,21.9877132,Private for profit organisation,659875,Active,17,,PRC,www.intracomdefense.com,0,,,,,19400,NEW ROAD PEANIA 21 KM MARKOPOULOU,KOROPI,20000902,EL,,,Greece,,,,
2.metadata.participants.17,2,participant,904156207,ISAWARE OY,true,60.2036887,24.9612813,Other,2176750,Active,18,,PRC,www.isaware.fi,0,,,,,00560,ERIK PALMENIN AUKIO 1,Helsinki,20000885,FI,,,Finland,,,,
2.metadata.participants.18,2,participant,903174373,KONGSBERG DEFENCE & AEROSPACE AS,false,59.6569434,9.6446815,Private for profit organisation,1230000,Active,19,,PRC,www.kongsberg.com,0,,,,,3616,KIRKEGARDSVEIEN 45,Kongsberg,20000974,NO,,,Norway,,,,
2.metadata.participants.19,2,participant,998627417,LEONARDO - SOCIETA PER  AZIONI,false,41.9182673,12.4690749,Private for profit organisation,6141555.72,Active,20,,PRC,www.leonardo.com,0,,,,,00195,PIAZZA MONTE GRAPPA 4,Roma,20000922,IT,,,Italy,,,,
2.metadata.participants.20,2,participant,936720271,LYNRED,false,48.71683425,2.200578838130138,Private for profit organisation,2000000,Active,21,,PRC,www.lynred.com,0,,,,,91120,AVENUE DE LA VAUVE,Palaiseau,20000890,FR,,,France,,,,
2.metadata.participants.21,2,participant,998552824,MBDA FRANCE,false,48.7811049,2.2619632,Private for profit organisation,400000,Active,22,,PRC,www.mbda-systems.com,0,,,,,92358,1 AVENUE REAUMUR,Le Plessis-Robinson,20000890,FR,,,France,,,,
2.metadata.participants.22,2,participant,999987066,STICHTING KONINKLIJK NEDERLANDS LUCHT - EN RUIMTEVAARTCENTRUM,false,52.3451042,4.8438265,Research organisation,740000,Active,23,,REC,www.nlr.nl,0,,,,,1059 CM,ANTHONY FOKKERWEG 2,Amsterdam,20000973,NL,,,Netherlands,,,,
2.metadata.participants.23,2,participant,999994438,OFFICE NATIONAL D'ETUDES ET DE RECHERCHES AEROSPATIALES,false,48.7095551,2.2233675,Research organisation,519740,Active,24,,REC,www.onera.fr,0,,,,,91120,CHEMIN DE LA HUNIERE,Palaiseau,20000890,FR,,,France,,,,
2.metadata.participants.24,2,participant,885074270,RHEINMETALL NORWAY AS,false,59.2179475,10.4532654,Private for profit organisation,990000,Active,25,,PRC,,0,,,,,3133,STEINKLOSSVEIEN 14,DUKEN,20000974,NO,,,Norway,,,,
2.metadata.participants.25,2,participant,990406085,SCIENCE AND TECHNOLOGY BV,true,52.0143249,4.3761556,Other,330000,Active,26,,PRC,https://www.stcorp.nl/,0,,,,,2616 LR,OLOF PALMESTRAAT 14,Delft,20000973,NL,,,Netherlands,,,,
2.metadata.participants.26,2,participant,899285837,SENER AEROESPACIAL SOCIEDAD ANONIMA,false,43.3270799,-3.0171911467617747,Private for profit organisation,5062500.05,Active,27,,PRC,www.aeroespacial.sener,0,,,,,48930,AVDA ZUGAZARTE 56,Las Arenas,20000883,ES,,,Spain,,,,
2.metadata.participants.27,2,participant,998945674,SPACEBEL SA,false,50.5996947,5.566456642765143,Private for profit organisation,1000000,Active,28,,PRC,,0,,,,,4031,RUE DES CHASSEURS ARDENNAIS   6,Liege Angleur,20000839,BE,,,Belgium,,,,
2.metadata.participants.28,2,participant,924631840,ST ANALYTICS GMBH,true,48.1214771,11.5952108,Other,308125,Active,29,,PRC,www.st-analytics.de,0,,,,,81669,FRANZISKANERSTRASSE 9A,Munchen,20000873,DE,,,Germany,,,,
2.metadata.participants.29,2,participant,918136526,SYBILLA TECHNOLOGIES SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,true,53.0956342,18.081248050840248,Other,1055000,Active,30,,PRC,www.sybillatechnologies.com,0,,,,,85-023,UL. TORUNSKA 59,Bydgoszcz,20000986,PL,,,Poland,,,,
2.metadata.participants.30,2,participant,999908205,THALES ALENIA SPACE FRANCE SAS,false,43.5476997,1.3941094,Private for profit organisation,6649995,Active,31,,PRC,www.thalesaleniaspace.com,0,,,,,31100,AVENUE JEAN FRANCOIS CHAMPOLLION 26,Toulouse,20000890,FR,,,France,,,,
2.metadata.participants.31,2,participant,999488195,THALES ALENIA SPACE ITALIA SPA,false,41.9359863,12.6088338,Private for profit organisation,2588000,Active,32,,PRC,www.thalesaleniaspace.com,0,,,,,00131,VIA SACCOMURO 24,Roma,20000922,IT,,,Italy,,,,
2.metadata.participants.32,2,participant,999939051,TELESPAZIO SPA,false,41.9294632,12.5768065,Private for profit organisation,1699437.28,Active,33,,PRC,www.telespazio.com,0,,,,,00156,VIA TIBURTINA 965,Roma,20000922,IT,,,Italy,,,,
2.metadata.participants.33,2,participant,999958936,TERMA AS,false,56.234101,10.241841,Private for profit organisation,220000,Active,34,,PRC,,0,,,,,8520,HOVMARKEN 4,Lystrup,20000875,DK,,,Denmark,,,,
2.metadata.participants.34,2,participant,999961555,THALES LAS FRANCE SAS,false,48.7906419,1.9741698,Private for profit organisation,1350085,Active,35,,PRC,www.thalesgroup.com,0,,,,,78990,AVENUE GAY LUSSAC 2,Elancourt,20000890,FR,,,France,,,,
2.metadata.participants.35,2,participant,999480241,THALES NEDERLAND BV,false,52.2483001,6.7728129,Private for profit organisation,1101600,Active,36,,PRC,www.thales-nederland.nl,0,,,,,7554 RR,ZUIDELIJKE HAVENWEG 40,Hengelo Ov,20000973,NL,,,Netherlands,,,,
2.metadata.participants.36,2,participant,999988909,NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO,false,52.0822233,4.3257144,Research organisation,1160000,Active,37,,REC,www.tno.nl,0,,,,,2595 DA,ANNA VAN BUERENPLEIN 1,Den Haag,20000973,NL,,,Netherlands,,,,
2.metadata.participants.37,2,participant,999630009,UNIVERSITAET DER BUNDESWEHR MUENCHEN,false,48.075722,11.6513008,HSE,752000,Active,38,,HES,www.unibw.de,0,,,,,85579,WERNER HEISENBERG WEG 39,Neubiberg,20000873,DE,,,Germany,,,,
2.metadata.participants.38,2,thirdParty,891438440,OHB DIGITAL CONNECT GMBH,false,53.0758196,8.8071646,Private for profit organisation,3075095.06,Active,1,,PRC,www.ohb.de/digital,0,,,,,28359,MANFRED-FUCHS-PLATZ 2-4,Bremen,20000873,DE,,,Germany,,,,
2.metadata.participants.39,2,thirdParty,898508382,OHB HELLAS MONOPROSOPI ETAIREIA PERIORISMENIS EFTHINIS,false,38.045574349999995,23.805270162605616,Private for profit organisation,400000,Active,1,,PRC,http://www.ohb-hellas.gr,0,,,,,151 24,IMVROU 1,MAROUSI,20000902,EL,,,Greece,,,,
2.metadata.participants.40,2,thirdParty,999653095,BEYOND GRAVITY SWEDEN AB,false,57.7063369,11.9441986,Private for profit organisation,81943.75,Active,6,,PRC,,0,,,,,405 15,SOLHUSGATAN 11,Goteborg,20001001,SE,,,Sweden,,,,
2.metadata.participants.41,2,thirdParty,990040007,MBDA ITALIA SPA,false,41.9323544,12.6143339,Private for profit organisation,150000,Active,22,,PRC,http://www.mbda-systems.com/,0,,,,,00131,VIA MONTE FLAVIO 45,Roma,20000922,IT,,,Italy,,,,
2.metadata.participants.42,2,thirdParty,997545285,MBDA DEUTSCHLAND GMBH,false,48.5702854,11.2149263052905,Private for profit organisation,180000,Active,22,,PRC,www.mbda-systems.com,0,,,,,86529,HAGENAUER FORST 27,Schrobenhausen,20000873,DE,,,Germany,,,,
3.metadata.participants.0,3,coordinator,890612291,AGRICLIMA CONSULTING AB,true,59.6749712,14.5208584,Other,461082.75,Active,1,,PRC,www.agriclima.eu,0,,,,,265 74,GLASBLASAREGATAN 23 D,HYLLINGE,20001001,SE,,,Sweden,,,,
3.metadata.participants.1,3,participant,888362279,SOTIRIA TECHNOLOGY MONOPROSOPI IDIOTIKI KEFALAIOUCHIKI ETAIREIA,true,38.9953683,21.9877132,Other,372500,Active,2,,PRC,www.sotiria.tech,0,,,,,104 31,9 OMONIA SQUARE,ATHENS,20000902,EL,,,Greece,,,,
3.metadata.participants.2,3,participant,951630432,CONSORZIO PER L'INNOVAZIONE E LA BIOECONOMIA,false,41.9244045,12.4521318,Research organisation,290250,Active,3,,REC,www.inbio.it,0,,,,,00100,CENTRO RICERCHE CASACCIA FRAZIONE SANTA MARIA GALERIA,ROMA,20000922,IT,,,Italy,,,,
3.metadata.participants.3,3,participant,999894916,UNIVERSIDADE DO PORTO,false,41.146511399999994,-8.615766789175847,HSE,267472.5,Active,4,,HES,www.up.pt,0,,,,,4099-002,PRACA GOMES TEIXEIRA,Porto,20000990,PT,,,Portugal,,,,
3.metadata.participants.4,3,participant,999663474,FH OO FORSCHUNGS & ENTWICKLUNGS GMBH,false,48.165732000000006,13.984416798172166,Research organisation,372681.25,Active,5,,REC,www.fh-ooe.at,0,,,,,4600,ROSEGGERSTRASSE 15,Wels,20000832,AT,,,Austria,,,,
3.metadata.participants.5,3,participant,884099420,PRINSUS I.K.E. TECHNOVLASTOS,true,38.9953683,21.9877132,Other,268319.8,Active,6,,PRC,www.prinsus.eu,0,,,,,15780,IROON POLYTECHNEIOU 9,"ZOGRAFOU, ATHENS",20000902,EL,,,Greece,,,,
3.metadata.participants.6,3,participant,995413613,BTG BIOLIQUIDS BV,true,52.1709478,6.8087553,Other,381481.7,Active,7,,PRC,http://www.btg-bioliquids.com,0,,,,,7545 PN,JOSINK ESWEG 28,ENSCHEDE,20000973,NL,,,Netherlands,,,,
4.metadata.participants.0,4,coordinator,987804060,SATWAYS-OLOKLIROMENES LYSEIS ASFALEIAS KAI AMYNAS-IDIOTIKI EPICHEIRISI PAROCHIS YPIRESION ASFALEIAS (IEPYA)-ETAIREIA PERIORISMENIS EFTHYNIS,true,38.9953683,21.9877132,Other,949249.99,Active,1,,PRC,www.satways.net,0,,,,,141 22,MEGALOU KONSTANTINOU 15,IRAKLEIO,20000902,EL,,,Greece,,,,
4.metadata.participants.1,4,participant,893722305,TRAQBEAT TECHNOLOGIES IDIOTIKI KEFA,true,38.9953683,21.9877132,Other,697690.89,Active,2,,PRC,www.traqbeat.com,0,,,,,700 13,N.PLASTIRA 100,HERAKLION,20000902,EL,,,Greece,,,,
4.metadata.participants.2,4,participant,996237822,IQUADRAT INFORMATICA SL,true,41.40114385,2.1468427996553974,Other,399302.33,Active,3,,PRC,www.iquadrat.com,0,,,,,08006,"CALLE DOCTOR RIZAL 10, P.BJ2 PTA 2",Barcelona,20000883,ES,,,Spain,,,,
4.metadata.participants.3,4,participant,958304323,INSTITUT PO OTBRANA,false,42.6978634,23.3221789,Research organisation,433331.25,Active,4,,REC,http://di.mod.bg,0,,,,,1574,prof. Tsvetan Lazarov blvd.  2,Sofia,20000841,BG,,,Bulgaria,,,,
4.metadata.participants.4,4,participant,898948956,OASI 233 SL,true,38.3564551,-0.4838657,Other,402376.15,Active,5,,PRC,www.cfoasi.com,0,,,,,03012,GARBINET 84 ENTLO IZQDA,ALICANTE,20000883,ES,,,Spain,,,,
4.metadata.participants.5,4,participant,884566960,INCISIO AB,true,59.4123826,18.0136273,Other,311451.09,Active,6,,PRC,,0,,,,,18239,ASEVAGEN 1,DANDERYD,20001001,SE,,,Sweden,,,,
5.metadata.participants.0,5,coordinator,998453011,RINA CONSULTING - CENTRO SVILUPPO MATERIALI SPA,false,41.706214900000006,12.44616005667443,Private for profit organisation,635675.6,Active,1,,PRC,www.c-s-m.it,0,,,,,00128,VIA DI CASTEL ROMANO 100,Roma,20000922,IT,,,Italy,,,,
5.metadata.participants.1,5,participant,891954480,MOBILITY ION TECHNOLOGIES SL,true,41.6221279,-4.7813957,Other,563825.65,Active,2,,PRC,www.miontechnologies.com,0,,,,,47195,C/ EL JUNCAL 3 ARROYO DE LA ENCOMIE,Arroyo de la Encomienda,20000883,ES,,,Spain,,,,
5.metadata.participants.2,5,participant,938969701,SENSICHIPS SRL,true,41.5942016,12.6485765,Other,455158.95,Active,3,,PRC,www.sensichips.com,0,,,,,04011,VIA DELLE VALLI 46,Aprilia,20000922,IT,,,Italy,,,,
5.metadata.participants.3,5,participant,900446345,T4I ENGINEERING IKE*T4I ENGINEERING PRIVATE COMPANY,true,37.65018645,24.024606188545665,Other,250806.87,Active,4,,PRC,www.t4ieng.com,0,,,,,163 46,ERGATON TYPOU 10,ILIOUPOLI,20000902,EL,,,Greece,,,,
5.metadata.participants.4,5,participant,999981731,DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV,false,50.848867,7.111538417241022,Research organisation,520072.61,Active,5,,REC,www.dlr.de,0,,,,,51147,LINDER HOHE,Koln,20000873,DE,,,Germany,,,,
5.metadata.participants.5,5,participant,999979500,CONSIGLIO NAZIONALE DELLE RICERCHE,false,41.9009424,12.5122989,Research organisation,378256.4,Active,6,,REC,www.cnr.it,0,,,,,00185,PIAZZALE ALDO MORO 7,Roma,20000922,IT,,,Italy,,,,
5.metadata.participants.6,5,participant,996235688,INTRACOM DEFENSE AE,false,38.9953683,21.9877132,Private for profit organisation,456197.68,Active,7,,PRC,www.intracomdefense.com,0,,,,,19400,NEW ROAD PEANIA 21 KM MARKOPOULOU,KOROPI,20000902,EL,,,Greece,,,,
