_link,_link_main,role,pic,legalName,sme,latitude,longitude,activityType,eucontribution,status,order,organizationType,type,webLink,postalAddress_id,postalAddress_abbreviation,postalAddress_classId,postalAddress_context,postalAddress_description,postalAddress_postalCode,postalAddress_street,postalAddress_city,postalAddress_countryCode_id,postalAddress_countryCode_abbreviation,postalAddress_countryCode_classId,postalAddress_countryCode_context,postalAddress_countryCode_description,postalAddress_countryCode_postalCode,postalAddress_countryCode_street,postalAddress_countryCode_city,postalAddress_countryCode_countryCode
0.metadata.participants.0,0,coordinator,907143904,FONDAZIONE SAFE,false,44.420655,12.1920634,Other,632500,Active,1,,OTH,www.safe-europe.eu,0,,,,,48121,VIA MAGGIORE 73,Ravenna,20000922,IT,,,Italy,,,,
0.metadata.participants.1,0,participant,999584128,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,false,48.269137,16.4266762,Research organisation,855250,Active,2,,REC,http://www.ait.ac.at/,0,,,,,1210,GIEFINGGASSE 4,Wien,20000832,AT,,,Austria,,,,
0.metadata.participants.2,0,participant,999556289,BRUHN NEWTECH AS,true,55.6800202,12.5851952,Other,438750,Active,3,,PRC,,0,,,,,1050,KONGENS NYTORV 17 3,KOBENHAVN K,20000875,DK,,,Denmark,,,,
0.metadata.participants.3,0,participant,999988521,"AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE",false,41.9313877,12.4627135,Research organisation,467500,Active,4,,REC,http://www.enea.it,0,,,,,00196,LUNGOTEVERE GRANDE AMMIRAGLIO THAON DI REVEL 76,Roma,20000922,IT,,,Italy,,,,
0.metadata.participants.4,0,participant,907711936,CAFA TECH OU,true,59.4372155,24.7453688,Other,980625,Active,5,,PRC,https://cafatech.com,0,,,,,10612,MADARA 29/1,Tallinn,20000880,EE,,,Estonia,,,,
0.metadata.participants.5,0,participant,991972053,CONSORZIO CREO-CENTRO RICERCHE ELETTRO OTTICHE,false,42.3958927,13.4357622,Research organisation,455750,Active,6,,REC,www.consorziocreo.it,0,,,,,67100,SS 17 LOCALITA BOSCHETTO,L'Aquila,20000922,IT,,,Italy,,,,
0.metadata.participants.6,0,participant,951947040,RE-LION GROUP B.V.,true,52.2556952,6.8515377,Other,498734.4,Active,7,,PRC,re-lion.com,0,,,,,7524 PK,"Vliegveldstraat 100, B517",Enschede,20000973,NL,,,Netherlands,,,,
0.metadata.participants.7,0,thirdParty,999979500,CONSIGLIO NAZIONALE DELLE RICERCHE,false,41.9009424,12.5122989,Research organisation,72562.5,Active,6,,REC,www.cnr.it,0,,,,,00185,PIAZZALE ALDO MORO 7,Roma,20000922,IT,,,Italy,,,,
1.metadata.participants.0,1,coordinator,989360037,OHB SYSTEM AG,false,53.1139736,8.8602392,Private for profit organisation,15866529.29,Active,1,,PRC,www.ohb-system.de,0,,,,,28359,UNIVERSITATSALLEE 27-29,Bremen,20000873,DE,,,Germany,,,,
1.metadata.participants.1,1,participant,920737969,AIM INFRAROT-MODULE GMBH,false,49.135093350000005,9.206243603638637,Private for profit organisation,3783500,Active,2,,PRC,www.aim-ir.com,0,,,,,74072,THERESIENSTRASSE 2,Heilbronn,20000873,DE,,,Germany,,,,
1.metadata.participants.2,1,participant,999809265,AIRBUS DEFENCE AND SPACE SAS,false,43.6044622,1.4442469,Private for profit organisation,12281481.53,Active,3,,PRC,www.airbusdefenceandspace.com,0,,,,,31402,31 RUE DES COSMONAUTES ZI DU PALAYS,Toulouse Cedex,20000890,FR,,,France,,,,
1.metadata.participants.3,1,participant,898635452,AMDC GMBH,true,48.7101182,11.8069746,Other,1020000,Active,4,,PRC,www.amdc.de,0,,,,,84094,AM PANDURENBERG 4,ELSENDORF,20000873,DE,,,Germany,,,,
